Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,2.907281816005707,6.8,0.0,0.0,
बाघ,बिल्ली,4.952309727668762,7.0,1.0,1.0,
किताब,कागज़,4.975152015686035,7.6,1.0,1.0,
कंप्यूटर,कीबोर्ड,7.109529376029968,7.6,1.0,1.0,
कंप्यूटर,इंटरनेट,7.576692700386047,8.0,1.0,1.0,
विमान,कार,5.671210885047913,6.0,1.0,1.0,
रेलगाड़ी,कार,6.380333304405212,6.2,1.0,1.0,
टेलीफोन,संचार,3.8968202471733093,7.6,0.0,0.0,
टेलीविजन,रेडियो,7.579631805419922,6.4,1.0,1.0,
मीडिया,रेडियो,3.863353431224823,5.8,0.0,0.0,
ब्रेड,मक्खन,7.40522563457489,6.6,1.0,1.0,
खीरा,आलू,7.609177231788635,5.8,1.0,1.0,
चिकित्सक,नर्स,6.815500259399414,7.6,1.0,1.0,
प्रोफ़ेसर,चिकित्सक,4.183706343173981,4.6,1.0,1.0,
छात्र,प्रोफ़ेसर,4.117802381515503,7.0,1.0,1.0,
होशियार,छात्र,0.958930104970932,5.2,0.0,0.0,
होशियार,बेवकूफ,5.6651633977890015,6.2,1.0,1.0,
किताब,पुस्तकालय,2.7171656489372253,7.6,0.0,0.0,
बैंक,पैसे,3.7189343571662903,8.0,0.0,0.0,
लकड़ी,जंगल,4.945583641529083,7.0,1.0,1.0,
प्रोफ़ेसर,खीरा,0.1924549974501133,0.0,0.0,1.0,
राजा,रानी,6.20316207408905,8.2,1.0,1.0,
बिशप,रबी,-0.7920496165752411,7.0,0.0,0.0,
यरूशलेम,इजराइल,4.77280855178833,7.8,1.0,1.0,
पवित्र,सेक्स,0.9219294041395187,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,6.648804545402527,7.8,1.0,1.0,
फ़ुटबॉल,सॉकर,8.329902291297913,9.0,1.0,1.0,
फ़ुटबॉल,बास्केटबाल,7.287212014198303,6.4,1.0,1.0,
फ़ुटबॉल,टेनिस,7.290949821472168,5.8,1.0,1.0,
टेनिस,रैकेट,2.6880574226379395,7.4,0.0,0.0,
कानून,वकील,3.4623491764068604,7.8,0.0,0.0,
चलचित्र,पॉपकॉर्न,1.838439702987671,6.6,0.0,0.0,
चलचित्र,आलोचक,2.2521236538887024,6.6,0.0,0.0,
चलचित्र,थिएटर,4.249257445335388,8.4,1.0,1.0,
पीना,कार,0.06323731504380703,1.4,0.0,1.0,
पीना,कान,0.8611554652452469,0.4,0.0,1.0,
पीना,मुंह,1.8902435898780823,7.0,0.0,0.0,
बच्चा,मां,4.881159067153931,7.2,1.0,1.0,
पीना,मां,1.7110486328601837,1.8,0.0,1.0,
मणि,गहना,2.907707989215851,6.8,0.0,0.0,
भट्ठी,स्टोव,7.09031879901886,8.4,1.0,1.0,
भोजन,फल,5.5765920877456665,6.6,1.0,1.0,
पक्षी,सारस,8.298598527908325,7.4,1.0,1.0,
भाई,साधु,1.9574223458766937,1.4,0.0,1.0,
यात्रा,कार,3.0940473079681396,6.2,0.0,0.0,
साधु,गुलाम,1.8205595016479492,0.2,0.0,1.0,
कांच,जादूगर,2.560524344444275,2.0,0.0,1.0,
पैसे,मुद्रा,2.168049067258835,8.6,0.0,0.0,
पैसे,धन,6.089305281639099,9.2,1.0,1.0,
पैसे,संपत्ति,4.10851925611496,8.4,1.0,1.0,
पैसे,बैंक,3.7189343571662903,8.2,0.0,0.0,
पैसे,जमा,3.5728567838668823,6.6,0.0,0.0,
पैसे,ऑपरेशन,0.9393735975027084,2.6,0.0,1.0,
बाघ,जैगुआर,2.1166877448558807,8.0,0.0,0.0,
बाघ,जानवर,6.607553958892822,7.6,1.0,1.0,
बाघ,चिड़ियाघर,5.781770944595337,6.8,1.0,1.0,
मनोविज्ञान,चिंता,1.3594140112400055,6.2,0.0,0.0,
मनोविज्ञान,डर,-0.8221645653247833,5.2,0.0,0.0,
मनोविज्ञान,डिप्रेशन,2.7985337376594543,7.0,0.0,0.0,
मनोविज्ञान,क्लिनिक,2.2576479613780975,6.4,0.0,0.0,
मनोविज्ञान,चिकित्सक,3.8230034708976746,7.0,0.0,0.0,
मनोविज्ञान,मन,2.053752839565277,7.4,0.0,0.0,
मनोविज्ञान,स्वास्थ्य,3.799627423286438,6.2,0.0,0.0,
मनोविज्ञान,विज्ञान,7.578861117362976,7.0,1.0,1.0,
मनोविज्ञान,अनुशासन,4.584106802940369,4.2,1.0,1.0,
,,,,,,Accuracy  = 
,,,,,,61.53846153846154
