Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,3.180135488510132,6.8,0.0,1.0,
बाघ,बिल्ली,5.595611929893494,7.0,0.0,1.0,
किताब,कागज़,3.996671736240387,7.6,0.0,1.0,
कंप्यूटर,कीबोर्ड,6.121397614479065,7.6,0.0,1.0,
कंप्यूटर,इंटरनेट,6.648329496383667,8.0,0.0,0.0,
विमान,कार,5.368130803108215,6.0,0.0,1.0,
रेलगाड़ी,कार,5.210368633270264,6.2,0.0,1.0,
टेलीफोन,संचार,4.652916491031647,7.6,0.0,1.0,
टेलीविजन,रेडियो,6.857367753982544,6.4,0.0,1.0,
मीडिया,रेडियो,3.989931643009186,5.8,0.0,1.0,
ब्रेड,मक्खन,6.557031869888306,6.6,0.0,1.0,
खीरा,आलू,7.321131229400635,5.8,0.0,1.0,
चिकित्सक,नर्स,6.3963377475738525,7.6,0.0,1.0,
प्रोफ़ेसर,चिकित्सक,4.109641909599304,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,4.2821720242500305,7.0,0.0,1.0,
होशियार,छात्र,2.626430094242096,5.2,0.0,1.0,
होशियार,बेवकूफ,5.127089023590088,6.2,0.0,1.0,
किताब,पुस्तकालय,4.168393313884735,7.6,0.0,1.0,
बैंक,पैसे,3.6888429522514343,8.0,0.0,0.0,
लकड़ी,जंगल,4.807792007923126,7.0,0.0,1.0,
प्रोफ़ेसर,खीरा,1.5999996662139893,0.0,0.0,1.0,
राजा,रानी,6.518668532371521,8.2,0.0,0.0,
बिशप,रबी,0.9674382209777832,7.0,0.0,1.0,
यरूशलेम,इजराइल,4.515766203403473,7.8,0.0,1.0,
पवित्र,सेक्स,1.775268316268921,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,6.143757700920105,7.8,0.0,1.0,
फ़ुटबॉल,सॉकर,7.708468437194824,9.0,0.0,0.0,
फ़ुटबॉल,बास्केटबाल,6.785823702812195,6.4,0.0,1.0,
फ़ुटबॉल,टेनिस,6.613385081291199,5.8,0.0,1.0,
टेनिस,रैकेट,4.156369566917419,7.4,0.0,1.0,
कानून,वकील,4.369568228721619,7.8,0.0,1.0,
चलचित्र,पॉपकॉर्न,3.5535255074501038,6.6,0.0,1.0,
चलचित्र,आलोचक,2.090562582015991,6.6,0.0,1.0,
चलचित्र,थिएटर,4.501215815544128,8.4,0.0,0.0,
पीना,कार,3.0941882729530334,1.4,0.0,1.0,
पीना,कान,2.346102148294449,0.4,0.0,1.0,
पीना,मुंह,3.4382364153862,7.0,0.0,1.0,
बच्चा,मां,4.817221462726593,7.2,0.0,1.0,
पीना,मां,2.412824332714081,1.8,0.0,1.0,
मणि,गहना,3.369661271572113,6.8,0.0,1.0,
भट्ठी,स्टोव,6.244766712188721,8.4,0.0,0.0,
भोजन,फल,4.873049557209015,6.6,0.0,1.0,
पक्षी,सारस,7.890929579734802,7.4,0.0,1.0,
भाई,साधु,2.4507831037044525,1.4,0.0,1.0,
यात्रा,कार,3.5905683040618896,6.2,0.0,1.0,
साधु,गुलाम,1.5324369072914124,0.2,0.0,1.0,
कांच,जादूगर,3.09047669172287,2.0,0.0,1.0,
पैसे,मुद्रा,3.3617275953292847,8.6,0.0,0.0,
पैसे,धन,5.7231104373931885,9.2,0.0,0.0,
पैसे,संपत्ति,4.036341309547424,8.4,0.0,0.0,
पैसे,बैंक,3.6888429522514343,8.2,0.0,0.0,
पैसे,जमा,4.106565713882446,6.6,0.0,1.0,
पैसे,ऑपरेशन,2.6842117309570312,2.6,0.0,1.0,
बाघ,जैगुआर,4.179374277591705,8.0,0.0,0.0,
बाघ,जानवर,6.50169312953949,7.6,0.0,1.0,
बाघ,चिड़ियाघर,6.481398344039917,6.8,0.0,1.0,
मनोविज्ञान,चिंता,2.573658525943756,6.2,0.0,1.0,
मनोविज्ञान,डर,1.5891800820827484,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,3.6965155601501465,7.0,0.0,1.0,
मनोविज्ञान,क्लिनिक,4.062468409538269,6.4,0.0,1.0,
मनोविज्ञान,चिकित्सक,4.511999785900116,7.0,0.0,1.0,
मनोविज्ञान,मन,3.289284110069275,7.4,0.0,1.0,
मनोविज्ञान,स्वास्थ्य,4.222272336483002,6.2,0.0,1.0,
मनोविज्ञान,विज्ञान,7.387717366218567,7.0,0.0,1.0,
मनोविज्ञान,अनुशासन,3.928043842315674,4.2,0.0,1.0,
,,,,,,Accuracy  = 
,,,,,,83.07692307692308
