Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,2.9502856731414795,6.8,0.0,0.0,
बाघ,बिल्ली,4.623303711414337,7.0,0.0,0.0,
किताब,कागज़,3.429228663444519,7.6,0.0,0.0,
कंप्यूटर,कीबोर्ड,5.181555151939392,7.6,0.0,0.0,
कंप्यूटर,इंटरनेट,6.141828894615173,8.0,1.0,1.0,
विमान,कार,4.61382120847702,6.0,0.0,0.0,
रेलगाड़ी,कार,4.613066911697388,6.2,0.0,0.0,
टेलीफोन,संचार,4.311110079288483,7.6,0.0,0.0,
टेलीविजन,रेडियो,6.093823313713074,6.4,1.0,1.0,
मीडिया,रेडियो,3.5773715376853943,5.8,0.0,1.0,
ब्रेड,मक्खन,6.21034562587738,6.6,1.0,1.0,
खीरा,आलू,6.568588614463806,5.8,0.0,0.0,
चिकित्सक,नर्स,5.73007345199585,7.6,0.0,0.0,
प्रोफ़ेसर,चिकित्सक,3.3518588542938232,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,3.4093767404556274,7.0,0.0,0.0,
होशियार,छात्र,2.4272920191287994,5.2,0.0,1.0,
होशियार,बेवकूफ,4.975632131099701,6.2,0.0,0.0,
किताब,पुस्तकालय,3.404437303543091,7.6,0.0,0.0,
बैंक,पैसे,3.429158329963684,8.0,0.0,0.0,
लकड़ी,जंगल,4.200319051742554,7.0,0.0,0.0,
प्रोफ़ेसर,खीरा,0.6399127095937729,0.0,0.0,1.0,
राजा,रानी,5.636731386184692,8.2,0.0,0.0,
बिशप,रबी,0.8040022104978561,7.0,0.0,0.0,
यरूशलेम,इजराइल,3.6610952019691467,7.8,0.0,0.0,
पवित्र,सेक्स,1.2961164116859436,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,4.770796298980713,7.8,0.0,0.0,
फ़ुटबॉल,सॉकर,6.894894242286682,9.0,1.0,1.0,
फ़ुटबॉल,बास्केटबाल,5.894802808761597,6.4,0.0,0.0,
फ़ुटबॉल,टेनिस,5.598204731941223,5.8,0.0,1.0,
टेनिस,रैकेट,3.5622355341911316,7.4,0.0,0.0,
कानून,वकील,4.03832882642746,7.8,0.0,0.0,
चलचित्र,पॉपकॉर्न,2.50548392534256,6.6,0.0,0.0,
चलचित्र,आलोचक,1.6552558541297913,6.6,0.0,0.0,
चलचित्र,थिएटर,3.6299261450767517,8.4,0.0,0.0,
पीना,कार,1.9775022566318512,1.4,0.0,1.0,
पीना,कान,2.1392013132572174,0.4,0.0,1.0,
पीना,मुंह,3.0345746874809265,7.0,0.0,0.0,
बच्चा,मां,4.009435772895813,7.2,0.0,0.0,
पीना,मां,2.18661829829216,1.8,0.0,1.0,
मणि,गहना,2.4394306540489197,6.8,0.0,0.0,
भट्ठी,स्टोव,5.2419328689575195,8.4,0.0,0.0,
भोजन,फल,4.070313274860382,6.6,0.0,0.0,
पक्षी,सारस,7.037053108215332,7.4,1.0,1.0,
भाई,साधु,1.968977153301239,1.4,0.0,1.0,
यात्रा,कार,2.7866974472999573,6.2,0.0,0.0,
साधु,गुलाम,1.805274784564972,0.2,0.0,1.0,
कांच,जादूगर,2.473672926425934,2.0,0.0,1.0,
पैसे,मुद्रा,2.9401934146881104,8.6,0.0,0.0,
पैसे,धन,5.404526591300964,9.2,0.0,0.0,
पैसे,संपत्ति,3.506205976009369,8.4,0.0,0.0,
पैसे,बैंक,3.429158329963684,8.2,0.0,0.0,
पैसे,जमा,3.6739394068717957,6.6,0.0,0.0,
पैसे,ऑपरेशन,2.079610228538513,2.6,0.0,1.0,
बाघ,जैगुआर,3.6830919981002808,8.0,0.0,0.0,
बाघ,जानवर,6.117748022079468,7.6,1.0,1.0,
बाघ,चिड़ियाघर,5.493714809417725,6.8,0.0,0.0,
मनोविज्ञान,चिंता,2.3953519761562347,6.2,0.0,0.0,
मनोविज्ञान,डर,2.0057065784931183,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,2.4622736871242523,7.0,0.0,0.0,
मनोविज्ञान,क्लिनिक,3.2453393936157227,6.4,0.0,0.0,
मनोविज्ञान,चिकित्सक,3.6635014414787292,7.0,0.0,0.0,
मनोविज्ञान,मन,3.2178401947021484,7.4,0.0,0.0,
मनोविज्ञान,स्वास्थ्य,3.937809467315674,6.2,0.0,0.0,
मनोविज्ञान,विज्ञान,6.483582258224487,7.0,1.0,1.0,
मनोविज्ञान,अनुशासन,3.5651150345802307,4.2,0.0,1.0,
,,,,,,Accuracy  = 
,,,,,,33.84615384615385
