Word1,Word2,Similarity Score,Ground Truth,Label_similar,label_correct,0
मोहब्बत,सेक्स,4.3305255156826155,6.8,0.0,0.0,
बाघ,बिल्ली,5.996534732116199,7.0,0.0,0.0,
किताब,कागज़,6.407840596167473,7.6,1.0,1.0,
कंप्यूटर,कीबोर्ड,6.321789173646062,7.6,1.0,1.0,
कंप्यूटर,इंटरनेट,7.983269038764391,8.0,1.0,1.0,
विमान,कार,7.16845421573339,6.0,1.0,1.0,
रेलगाड़ी,कार,6.5510935806960555,6.2,1.0,1.0,
टेलीफोन,संचार,5.788380860275756,7.6,0.0,0.0,
टेलीविजन,रेडियो,7.840642087928094,6.4,1.0,1.0,
मीडिया,रेडियो,6.5340888728126725,5.8,0.0,0.0,
ब्रेड,मक्खन,6.941811266461263,6.6,1.0,1.0,
खीरा,आलू,6.75938441054639,5.8,0.0,0.0,
चिकित्सक,नर्स,7.424001615115943,7.6,1.0,1.0,
प्रोफ़ेसर,चिकित्सक,5.708070919917191,4.6,0.0,1.0,
छात्र,प्रोफ़ेसर,5.271255087557392,7.0,0.0,0.0,
होशियार,छात्र,4.578795249114899,5.2,0.0,1.0,
होशियार,बेवकूफ,6.331541638269979,6.2,1.0,1.0,
किताब,पुस्तकालय,4.834225083043183,7.6,0.0,0.0,
बैंक,पैसे,6.667359443842781,8.0,1.0,1.0,
लकड़ी,जंगल,6.436089425758053,7.0,1.0,1.0,
प्रोफ़ेसर,खीरा,-0.10984559597152728,0.0,0.0,1.0,
राजा,रानी,7.502501604213007,8.2,1.0,1.0,
बिशप,रबी,0.7675898883789921,7.0,0.0,0.0,
यरूशलेम,इजराइल,5.481491859986949,7.8,0.0,0.0,
पवित्र,सेक्स,4.15718795784637,1.0,0.0,1.0,
माराडोना,फ़ुटबॉल,4.0781555237806675,7.8,0.0,0.0,
फ़ुटबॉल,सॉकर,7.9875594787599855,9.0,1.0,1.0,
फ़ुटबॉल,बास्केटबाल,6.704593460826134,6.4,1.0,1.0,
फ़ुटबॉल,टेनिस,6.750377953592469,5.8,0.0,0.0,
टेनिस,रैकेट,4.488102224094884,7.4,0.0,0.0,
कानून,वकील,6.453000409807624,7.8,1.0,1.0,
चलचित्र,पॉपकॉर्न,1.6246275004196156,6.6,0.0,0.0,
चलचित्र,आलोचक,4.131037789234437,6.6,0.0,0.0,
चलचित्र,थिएटर,5.338535630086322,8.4,0.0,0.0,
पीना,कार,2.4715871286679056,1.4,0.0,1.0,
पीना,कान,4.37661057301911,0.4,0.0,1.0,
पीना,मुंह,4.646349850259819,7.0,0.0,0.0,
बच्चा,मां,7.309494708307289,7.2,1.0,1.0,
पीना,मां,4.227932408837873,1.8,0.0,1.0,
मणि,गहना,3.514596796963712,6.8,0.0,0.0,
भट्ठी,स्टोव,6.3284045669575875,8.4,1.0,1.0,
भोजन,फल,7.64597462347727,6.6,1.0,1.0,
पक्षी,सारस,7.725168251616217,7.4,1.0,1.0,
भाई,साधु,4.921555571843182,1.4,0.0,1.0,
यात्रा,कार,5.762995881376023,6.2,0.0,0.0,
साधु,गुलाम,3.3390106767391483,0.2,0.0,1.0,
कांच,जादूगर,3.3260641342839152,2.0,0.0,1.0,
पैसे,मुद्रा,6.116830587554433,8.6,1.0,1.0,
पैसे,धन,7.875886551570933,9.2,1.0,1.0,
पैसे,संपत्ति,6.8810626167321445,8.4,1.0,1.0,
पैसे,बैंक,6.667359443842781,8.2,1.0,1.0,
पैसे,जमा,7.13836920721631,6.6,1.0,1.0,
पैसे,ऑपरेशन,3.5368560282927506,2.6,0.0,1.0,
बाघ,जैगुआर,2.7372658081397043,8.0,0.0,0.0,
बाघ,जानवर,7.750575951461415,7.6,1.0,1.0,
बाघ,चिड़ियाघर,6.412073878855109,6.8,1.0,1.0,
मनोविज्ञान,चिंता,4.371106433043217,6.2,0.0,0.0,
मनोविज्ञान,डर,3.298727341824547,5.2,0.0,1.0,
मनोविज्ञान,डिप्रेशन,4.4167308096922095,7.0,0.0,0.0,
मनोविज्ञान,क्लिनिक,4.531776039899989,6.4,0.0,0.0,
मनोविज्ञान,चिकित्सक,6.0107992962184245,7.0,1.0,1.0,
मनोविज्ञान,मन,3.8086677788167957,7.4,0.0,0.0,
मनोविज्ञान,स्वास्थ्य,5.971482020670135,6.2,0.0,0.0,
मनोविज्ञान,विज्ञान,8.304848531739678,7.0,1.0,1.0,
मनोविज्ञान,अनुशासन,6.143223472503145,4.2,0.0,0.0,
,,,,,,Accuracy  = 
,,,,,,61.53846153846154
